				Velocity Center-point Mean mm/s	Cruising Frequency	Cruising Cumulative Duration s	Bursting Frequency	Bursting Cumulative Duration s	Freezing  Frequency	Freezing  Cumulative Duration s	Turn angle Center-point / relative Mean deg	Meander Center-point / relative Mean deg/mm	Angular velocity Center-point / relative Mean deg/s	Distance moved Center-point Total mm
Control	Trial     7	A6	0:48:00-0:49:00	5.40232	157	16.36	0	0	158	43.56	0.878374	-87.8231	21.9593	323.707
Control	Trial     7	A6	0:49:00-0:50:00	6.09667	158	18.4	0	0	159	41.6	-2.7686	-45.7185	-69.215	365.8
Control	Trial     7	B5	0:00:00-0:01:00	2.51087	76	7.2	0	0	76	52.56	1.64917	-639.532	41.2292	150.05
Control	Trial     7	B5	0:01:00-0:02:00	4.4831	151	15.68	0	0	152	44.32	1.36614	-130.009	34.1536	268.986
Control	Trial     7	B5	0:02:00-0:03:00	4.23	131	14.2	0	0	132	45.8	0.0698552	-10.8209	1.74638	253.8
Control	Trial     7	B5	0:03:00-0:04:00	3.84299	146	13.08	0	0	148	46.84	-0.316491	-70.3722	-7.91226	230.272
Control	Trial     7	B5	0:04:00-0:05:00	3.20524	124	10.24	0	0	125	49.76	-2.59257	-1426.44	-64.8142	192.314
Control	Trial     7	B5	0:05:00-0:06:00	3.89087	134	13.2	0	0	134	46.8	0.521088	-299.792	13.0272	233.452
Control	Trial     7	B5	0:06:00-0:07:00	3.52835	126	11.44	0	0	128	48.48	2.39624	231.298	59.906	211.418
Control	Trial     7	B5	0:07:00-0:08:00	3.08213	118	9.88	0	0	118	50.12	1.59119	-75.9676	39.7799	184.928
Control	Trial     7	B5	0:08:00-0:09:00	2.88411	109	8.96	0	0	111	50.96	-2.46405	-134.337	-61.6012	172.816
Control	Trial     7	B5	0:09:00-0:10:00	2.68598	105	8.2	0	0	105	51.8	-0.621393	-209.051	-15.5348	161.159
Control	Trial     7	B5	0:10:00-0:11:00	3.25831	133	10.44	0	0	134	49.56	0.0730041	253.326	1.8251	195.499
Control	Trial     7	B5	0:11:00-0:12:00	1.8227	70	4.28	0	0	72	55.64	-1.09738	-178.169	-27.4346	109.216
Control	Trial     7	B5	0:12:00-0:13:00	1.87498	79	4.96	0	0	79	55.04	0.820127	187.052	20.5032	112.499
Control	Trial     7	B5	0:13:00-0:14:00	2.10391	86	5.88	0	0	86	54.12	-4.66324	-439.815	-116.581	126.235
Control	Trial     7	B5	0:14:00-0:15:00	2.32655	111	7.32	0	0	113	52.6	-2.76816	-380.238	-69.2041	139.407
Control	Trial     7	B5	0:15:00-0:16:00	2.2345	98	7.04	0	0	99	52.96	2.45612	188.962	61.4029	134.07
Control	Trial     7	B5	0:16:00-0:17:00	1.75456	77	4.92	0	0	78	55	0.4721	278.837	11.8025	105.133
Control	Trial     7	B5	0:17:00-0:18:00	1.75302	67	4.56	0	0	68	55.44	-2.16486	168.874	-54.1215	105.181
Control	Trial     7	B5	0:18:00-0:19:00	1.99617	85	5.56	0	0	86	54.44	3.34655	418.274	83.6637	119.77
Control	Trial     7	B5	0:19:00-0:20:00	2.09728	95	6	0	0	97	53.92	-4.24118	130.048	-106.03	125.669
Control	Trial     7	B5	0:20:00-0:21:00	2.88104	85	8.12	0	0	86	51.88	0.658792	299.739	16.4698	172.863
Control	Trial     7	B5	0:21:00-0:22:00	5.34543	161	18.04	0	0	161	41.96	0.175848	-206.773	4.39619	320.726
Control	Trial     7	B5	0:22:00-0:23:00	4.1221	155	14.36	0	0	154	45.56	0.803004	38.6838	20.0751	246.996
Control	Trial     7	B5	0:23:00-0:24:00	5.21282	165	17	0	0	166	43	-2.42527	-209.103	-60.6318	312.769
Control	Trial     7	B5	0:24:00-0:25:00	3.60678	128	11.4	0	0	130	48.52	0.00831326	113.893	0.207831	216.119
Control	Trial     7	B5	0:25:00-0:26:00	3.00291	126	9.08	0	0	127	50.92	4.76727	283.553	119.182	180.175
Control	Trial     7	B5	0:26:00-0:27:00	2.68049	102	8.32	0	0	103	51.68	0.0871199	81.868	2.178	160.83
Control	Trial     7	B5	0:27:00-0:28:00	2.5002	98	7.8	0	0	99	52.12	1.32656	-149.768	33.1641	149.812
Control	Trial     7	B5	0:28:00-0:29:00	2.95208	108	9.12	0	0	109	50.88	0.984025	-19.4472	24.6006	177.125
Control	Trial     7	B5	0:29:00-0:30:00	3.45805	127	11.56	0	0	127	48.44	5.15805	410.609	128.951	207.483
Control	Trial     7	B5	0:30:00-0:31:00	2.28058	101	6.48	0	0	102	53.44	-0.718157	-170.633	-17.9539	136.652
Control	Trial     7	B5	0:31:00-0:32:00	2.65427	118	8.64	0	0	119	51.36	1.39242	210.121	34.8106	159.256
Control	Trial     7	B5	0:32:00-0:33:00	2.63521	116	7.6	0	0	117	52.32	0.881522	-94.1167	22.038	157.902
Control	Trial     7	B5	0:33:00-0:34:00	2.41723	105	7.52	0	0	105	52.48	-3.11448	-316.031	-77.8619	145.034
Control	Trial     7	B5	0:34:00-0:35:00	2.46776	103	8.28	0	0	103	51.72	1.093	9.90177	27.325	148.065
Control	Trial     7	B5	0:35:00-0:36:00	2.47092	109	8.08	0	0	111	51.84	1.69705	389.087	42.4262	148.057
Control	Trial     7	B5	0:36:00-0:37:00	2.45947	102	7.48	0	0	103	52.52	-2.52623	-239.36	-63.1557	147.568
Control	Trial     7	B5	0:37:00-0:38:00	2.19138	100	7	0	0	100	53	-0.367082	-561.196	-9.17706	131.483
Control	Trial     7	B5	0:38:00-0:39:00	1.52381	56	3.28	0	0	58	56.64	-0.684877	-252.325	-17.1219	91.3069
Control	Trial     7	B5	0:39:00-0:40:00	1.08923	28	1.52	0	0	29	58.48	2.89724	317.99	72.4309	65.3537
Control	Trial     7	B5	0:40:00-0:41:00	2.52314	64	7.2	0	0	66	52.72	-3.57024	-210.334	-89.2559	151.186
Control	Trial     7	B5	0:41:00-0:42:00	4.539	131	14.8	0	0	132	45.2	-0.687047	-273.568	-17.1762	272.34
Control	Trial     7	B5	0:42:00-0:43:00	3.66043	144	12.36	0	0	145	47.64	-1.86596	-126.701	-46.6491	219.626
Control	Trial     7	B5	0:43:00-0:44:00	2.994	107	9.68	0	0	109	50.24	1.86602	170.827	46.6506	179.4
Control	Trial     7	B5	0:44:00-0:45:00	3.31843	127	10.64	0	0	128	49.36	2.0538	166.898	51.3451	199.106
Control	Trial     7	B5	0:45:00-0:46:00	3.23712	131	10.52	0	0	132	49.48	2.1991	134.813	54.9776	194.227
Control	Trial     7	B5	0:46:00-0:47:00	3.35647	117	11	0	0	119	48.92	-0.582511	-39.2833	-14.5628	201.119
Control	Trial     7	B5	0:47:00-0:48:00	3.56696	130	11.72	0	0	131	48.28	1.96835	204.156	49.2087	214.018
Control	Trial     7	B5	0:48:00-0:49:00	3.4019	117	10.68	0	0	119	49.24	1.166	19.2287	29.15	203.842
Control	Trial     7	B5	0:49:00-0:50:00	3.67878	119	11.24	0	0	120	48.76	0.237525	-139.682	5.93812	220.727
Control	Trial     7	B6	0:00:00-0:01:00	8.0145	111	21.04	0	0	113	38.72	-2.06294	-175.215	-51.5735	478.947
Control	Trial     7	B6	0:01:00-0:02:00	4.11952	30	8.84	0	0	31	51.16	-1.14212	-363.103	-28.5529	247.171
Control	Trial     7	B6	0:02:00-0:03:00	7.3214	129	21.04	0	0	129	38.96	-0.0698161	-7.0981	-1.7454	439.284
Control	Trial     7	B6	0:03:00-0:04:00	6.61163	189	20.52	0	0	189	39.4	1.50867	76.0256	37.7166	396.169
Control	Trial     7	B6	0:04:00-0:05:00	4.45751	145	13.68	0	0	145	46.32	-2.59889	-33.8298	-64.9722	267.45
Control	Trial     7	B6	0:05:00-0:06:00	6.13628	171	20.28	0	0	171	39.72	0.324439	41.8939	8.11097	368.177
Control	Trial     7	B6	0:06:00-0:07:00	5.78275	164	18.76	0	0	165	41.16	-1.13064	-17.678	-28.2659	346.502
Control	Trial     7	B6	0:07:00-0:08:00	6.13826	153	19.88	0	0	154	40.12	-3.85768	-278.838	-96.4421	368.296
Control	Trial     7	B6	0:08:00-0:09:00	6.02427	153	19.32	0	0	154	40.6	-2.22248	-163.803	-55.5619	360.974
Control	Trial     7	B6	0:09:00-0:10:00	4.41137	114	13.6	0	0	115	46.4	-4.21325	-130.353	-105.331	264.682
Control	Trial     7	B6	0:10:00-0:11:00	3.84001	121	11.44	0	0	121	48.56	1.21947	103.06	30.4866	230.4
Control	Trial     7	B6	0:11:00-0:12:00	1.16458	33	1.8	0	0	35	58.12	-0.0483892	-49.568	-1.20973	69.7816
Control	Trial     7	B6	0:12:00-0:13:00	1.50893	55	3.56	0	0	56	56.44	3.71941	503.833	92.9853	90.5357
Control	Trial     7	B6	0:13:00-0:14:00	3.83986	123	11.56	0	0	124	48.44	-0.331374	-210.222	-8.28434	230.392
Control	Trial     7	B6	0:14:00-0:15:00	6.74836	157	18.72	0	0	155	41.2	2.50556	-53.5179	62.639	404.362
Control	Trial     7	B6	0:15:00-0:16:00	4.85482	147	15.68	0	0	148	44.32	-4.87363	-205.99	-121.841	291.289
Control	Trial     7	B6	0:16:00-0:17:00	5.17188	186	17.52	0	0	187	42.4	0.208201	100.338	5.20503	309.899
Control	Trial     7	B6	0:17:00-0:18:00	6.37704	160	19	0	0	161	41	0.144017	78.935	3.60043	382.622
Control	Trial     7	B6	0:18:00-0:19:00	7.07667	165	22.44	0	0	165	37.56	0.161546	256.395	4.03865	424.6
Control	Trial     7	B6	0:19:00-0:20:00	4.12485	157	13.8	0	0	158	46.12	-2.74874	-165.823	-68.7185	247.161
Control	Trial     7	B6	0:20:00-0:21:00	1.30609	9	1.68	0	0	10	58.32	3.53188	818.825	88.2971	78.3654
Control	Trial     7	B6	0:21:00-0:22:00	0.726106	0	0	0	0	1	60	-4.48299	167.214	-112.075	43.5664
Control	Trial     7	B6	0:22:00-0:23:00	0.879485	3	0.32	0	0	5	59.6	1.7088	-120.43	42.7201	52.6987
Control	Trial     7	B6	0:23:00-0:24:00	0.998902	9	0.56	0	0	10	59.44	0.377474	164.772	9.43686	59.9341
Control	Trial     7	B6	0:24:00-0:25:00	0.829935	0	0	0	0	2	59.92	0.0593924	-455.498	1.48481	49.7297
Control	Trial     7	B6	0:25:00-0:26:00	0.934057	12	0.92	0	0	13	59.08	-0.524627	-443.569	-13.1157	56.0434
Control	Trial     7	B6	0:26:00-0:27:00	1.47399	71	5.4	0	0	72	54.6	-3.30811	-218.43	-82.7028	88.4393
Control	Trial     7	B6	0:27:00-0:28:00	2.46861	127	10.4	0	0	129	49.52	2.33976	408.011	58.4939	147.919
Control	Trial     7	B6	0:28:00-0:29:00	3.11675	140	12.72	0	0	141	47.28	4.91736	257.53	122.934	187.005
Control	Trial     7	B6	0:29:00-0:30:00	7.44592	224	28	0	0	224	32	-1.56478	8.26149	-39.1194	446.755
Control	Trial     7	B6	0:30:00-0:31:00	1.99717	66	4.88	0	0	67	55.04	3.73797	186.846	93.4493	119.67
Control	Trial     7	B6	0:31:00-0:32:00	3.35162	75	7.16	0	0	76	52.84	2.2705	207.417	56.7626	201.097
Control	Trial     7	B6	0:32:00-0:33:00	3.97504	104	11.2	0	0	106	48.72	-0.716532	-167.461	-17.9133	238.184
Control	Trial     7	B6	0:33:00-0:34:00	2.28353	55	5.92	0	0	55	54.08	-2.33148	-218.488	-58.287	137.012
Control	Trial     7	B6	0:34:00-0:35:00	6.64438	163	20.44	0	0	164	39.56	-0.994721	-404.379	-24.868	398.663
Control	Trial     7	B6	0:35:00-0:36:00	5.42525	144	16.96	0	0	145	42.96	2.15513	42.1195	53.8784	325.081
Control	Trial     7	B6	0:36:00-0:37:00	1.13765	17	1.32	0	0	18	58.68	-0.652384	393.368	-16.3096	68.2588
Control	Trial     7	B6	0:37:00-0:38:00	5.11319	99	14.28	0	0	100	45.72	2.24369	210.118	56.0922	306.791
Control	Trial     7	B6	0:38:00-0:39:00	5.20258	135	16.84	0	0	136	43.08	1.04882	-7.4873	26.2206	311.739
Control	Trial     7	B6	0:39:00-0:40:00	6.94769	175	22.72	0	0	176	37.28	-2.6331	-51.6385	-65.8276	416.861
Control	Trial     7	B6	0:40:00-0:41:00	0.88922	6	0.64	0	0	8	59.28	-0.697252	-1010.23	-17.4313	53.2821
Control	Trial     7	B6	0:41:00-0:42:00	0.694436	0	0	0	0	1	60	-0.00514244	-40.5451	-0.128561	41.6661
Control	Trial     7	B6	0:42:00-0:43:00	0.743925	1	0.08	0	0	2	59.92	6.60284	124.889	165.071	44.6355
Control	Trial     7	B6	0:43:00-0:44:00	1.03314	10	0.76	0	0	12	59.16	-0.526555	-242.906	-13.1639	61.906
Control	Trial     7	B6	0:44:00-0:45:00	0.715615	0	0	0	0	1	60	8.6367	180.553	215.918	42.9369
Control	Trial     7	B6	0:45:00-0:46:00	0.667753	0	0	0	0	1	60	2.53772	-537.031	63.443	40.0652
Control	Trial     7	B6	0:46:00-0:47:00	1.43628	43	3.12	0	0	45	56.8	-1.42127	189.622	-35.5319	86.0617
Control	Trial     7	B6	0:47:00-0:48:00	0.895846	5	0.36	0	0	6	59.64	0.819132	-163.64	20.4783	53.7507
Control	Trial     7	B6	0:48:00-0:49:00	0.997453	18	1.04	0	0	20	58.88	6.56834	3153.4	164.209	59.7674
Control	Trial     7	B6	0:49:00-0:50:00	1.80164	77	4.64	0	0	77	55.36	1.74672	407.097	43.6679	108.098
Control	Trial     7	C2	0:00:00-0:01:00	1.70081	61	4.68	0	0	63	55.08	-3.10225	352.454	-77.5562	101.641
Control	Trial     7	C2	0:01:00-0:02:00	2.24305	78	7.32	0	0	79	52.68	0.785737	-62.3992	19.6434	134.583
Control	Trial     7	C2	0:02:00-0:03:00	0.785322	6	0.52	0	0	7	59.48	-5.41876	-343.196	-135.469	47.1193
Control	Trial     7	C2	0:03:00-0:04:00	0.63946	1	0.08	0	0	3	59.84	-2.65364	917.748	-66.3411	38.3164
Control	Trial     7	C2	0:04:00-0:05:00	0.62046	0	0	0	0	1	60	0.100735	-224.441	2.51838	37.2276
Control	Trial     7	C2	0:05:00-0:06:00	0.651551	0	0	0	0	1	60	2.06055	259.234	51.5137	39.093
Control	Trial     7	C2	0:06:00-0:07:00	0.700128	4	0.2	0	0	6	59.72	5.42007	224.949	135.502	41.9517
Control	Trial     7	C2	0:07:00-0:08:00	0.87921	14	1.04	0	0	15	58.96	-0.163747	188.736	-4.09368	52.7526
Control	Trial     7	C2	0:08:00-0:09:00	1.10026	23	2	0	0	25	57.92	-4.01169	138.411	-100.292	65.9277
Control	Trial     7	C2	0:09:00-0:10:00	1.11738	25	2	0	0	26	58	-0.012488	55.3886	-0.312199	67.0425
Control	Trial     7	C2	0:10:00-0:11:00	3.40506	104	10.08	0	0	105	49.92	7.39505	-43.7953	184.876	204.303
Control	Trial     7	C2	0:11:00-0:12:00	2.27987	79	6.2	0	0	81	53.72	-0.336603	-190.208	-8.41508	136.61
Control	Trial     7	C2	0:12:00-0:13:00	1.92489	82	4.88	0	0	83	55.12	3.73622	1174	93.4056	115.494
Control	Trial     7	C2	0:13:00-0:14:00	2.62696	107	7.64	0	0	108	52.36	1.48691	0.0892395	37.1727	157.618
Control	Trial     7	C2	0:14:00-0:15:00	3.2174	105	9.36	0	0	106	50.56	3.38071	34.2148	84.5177	192.786
Control	Trial     7	C2	0:15:00-0:16:00	1.2603	31	2.04	0	0	32	57.96	5.14358	216.945	128.59	75.6179
Control	Trial     7	C2	0:16:00-0:17:00	1.40169	56	2.88	0	0	58	57.04	-2.81114	-22.4198	-70.2785	83.9895
Control	Trial     7	C2	0:17:00-0:18:00	1.9082	93	5.52	0	0	94	54.48	-2.81416	-144.428	-70.3541	114.492
Control	Trial     7	C2	0:18:00-0:19:00	2.18476	95	5.96	0	0	95	54.04	-1.88366	-48.4735	-47.0914	131.085
Control	Trial     7	C2	0:19:00-0:20:00	1.11209	16	1.4	0	0	17	58.52	0.388017	-476.101	9.70042	66.6365
Control	Trial     7	C2	0:20:00-0:21:00	1.42204	41	2.96	0	0	41	57.04	-4.84816	-470.111	-121.204	85.3224
Control	Trial     7	C2	0:21:00-0:22:00	2.9071	81	9.16	0	0	81	50.84	0.899728	-16.5012	22.4932	174.426
Control	Trial     7	C2	0:22:00-0:23:00	2.98579	77	8.4	0	0	77	51.52	-2.48419	-126.198	-62.1048	178.909
Control	Trial     7	C2	0:23:00-0:24:00	1.22701	23	2.24	0	0	24	57.76	-0.0992067	-225.566	-2.48017	73.6207
Control	Trial     7	C2	0:24:00-0:25:00	1.6033	54	4.4	0	0	56	55.52	1.20672	132.466	30.168	96.0699
Control	Trial     7	C2	0:25:00-0:26:00	1.53693	36	3.6	0	0	37	56.4	-0.118583	197.546	-2.96457	92.2159
Control	Trial     7	C2	0:26:00-0:27:00	0.941313	7	0.64	0	0	8	59.36	3.40061	361.745	85.0153	56.4788
Control	Trial     7	C2	0:27:00-0:28:00	1.04514	18	1.28	0	0	20	58.64	-2.39207	-319.026	-59.8018	62.6248
Control	Trial     7	C2	0:28:00-0:29:00	0.796419	5	0.4	0	0	6	59.6	-3.93784	-43.7316	-98.4461	47.7851
Control	Trial     7	C2	0:29:00-0:30:00	0.905547	7	0.52	0	0	8	59.48	-2.9963	121.7	-74.9075	54.3328
Control	Trial     7	C2	0:30:00-0:31:00	1.58572	55	3.56	0	0	57	56.36	-2.00444	48.4748	-50.111	95.0163
Control	Trial     7	C2	0:31:00-0:32:00	3.93522	137	12.56	0	0	138	47.44	-0.797965	-68.3254	-19.9491	236.113
Control	Trial     7	C2	0:32:00-0:33:00	3.28533	104	9.2	0	0	106	50.72	1.01276	-114.877	25.3191	196.857
Control	Trial     7	C2	0:33:00-0:34:00	2.06574	47	4.32	0	0	48	55.68	-2.80706	-464.044	-70.1764	123.944
Control	Trial     7	C2	0:34:00-0:35:00	1.41226	34	2.04	0	0	35	57.96	0.152748	497.974	3.81869	84.7358
Control	Trial     7	C2	0:35:00-0:36:00	1.31474	38	2.48	0	0	39	57.44	-0.546338	-241.329	-13.6585	78.7791
Control	Trial     7	C2	0:36:00-0:37:00	0.826897	11	0.88	0	0	12	59.12	3.34725	29.3065	83.6814	49.6138
Control	Trial     7	C2	0:37:00-0:38:00	1.54229	57	3.52	0	0	58	56.48	1.47044	76.2534	36.761	92.5376
Control	Trial     7	C2	0:38:00-0:39:00	2.80021	46	7.64	0	0	48	52.28	-2.62907	-185.328	-65.7267	167.789
Control	Trial     7	C2	0:39:00-0:40:00	0.551553	0	0	0	0	1	60	-2.76791	-146.288	-69.1979	33.0932
Control	Trial     7	C2	0:40:00-0:41:00	0.779303	4	0.44	0	0	6	59.48	-1.45278	-245.89	-36.3194	46.6958
Control	Trial     7	C2	0:41:00-0:42:00	0.623553	0	0	0	0	1	60	-1.85758	150.434	-46.4395	37.4132
Control	Trial     7	C2	0:42:00-0:43:00	0.575454	0	0	0	0	1	60	2.21629	919.931	55.4071	34.5272
Control	Trial     7	C2	0:43:00-0:44:00	0.482329	0	0	0	0	2	59.92	4.37782	187.677	109.446	28.9012
Control	Trial     7	C2	0:44:00-0:45:00	0.941549	4	0.44	0	0	5	59.56	1.21777	35.2287	30.4443	56.493
Control	Trial     7	C2	0:45:00-0:46:00	0.75973	6	0.6	0	0	7	59.4	1.22856	647.117	30.7139	45.5838
Control	Trial     7	C2	0:46:00-0:47:00	0.726722	5	0.64	0	0	7	59.28	1.11392	-916.199	27.848	43.5452
Control	Trial     7	C2	0:47:00-0:48:00	0.870691	9	1.04	0	0	10	58.96	2.62262	334.282	65.5655	52.2415
Control	Trial     7	C2	0:48:00-0:49:00	0.699157	5	0.4	0	0	7	59.52	-1.55927	-52.8387	-38.9819	41.8935
Control	Trial     7	C2	0:49:00-0:50:00	0.921855	11	0.96	0	0	12	59.04	0.149332	-441.526	3.73331	55.3113
Control	Trial     7	C5	0:00:00-0:01:00	0.516907	0	0	0	0	2	59.76	4.18553	-166.298	104.638	30.8903
Control	Trial     7	C5	0:01:00-0:02:00	0.492977	0	0	0	0	1	60	7.29641	-44.1921	182.41	29.5786
Control	Trial     7	C5	0:02:00-0:03:00	0.479278	0	0	0	0	1	60	10.8218	620.139	270.545	28.7567
Control	Trial     7	C5	0:03:00-0:04:00	0.518573	0	0	0	0	2	59.92	-2.23646	-1076.49	-55.9116	31.0729
Control	Trial     7	C5	0:04:00-0:05:00	1.33318	18	2.72	0	0	19	57.28	-1.20165	-244.943	-30.0412	79.9905
Control	Trial     7	C5	0:05:00-0:06:00	0.963244	10	0.88	0	0	11	59.12	-1.28952	-293.196	-32.238	57.7946
Control	Trial     7	C5	0:06:00-0:07:00	1.22735	23	1.84	0	0	24	58.08	5.73519	154.646	143.38	73.5426
Control	Trial     7	C5	0:07:00-0:08:00	2.50756	81	7.48	0	0	80	52.52	-0.519348	252.741	-12.9837	150.454
Control	Trial     7	C5	0:08:00-0:09:00	4.30421	123	15.04	0	0	124	44.88	0.570429	-1.30116	14.2607	257.908
Control	Trial     7	C5	0:09:00-0:10:00	4.03961	118	13.76	0	0	119	46.24	-0.683243	-314.542	-17.0811	242.377
Control	Trial     7	C5	0:10:00-0:11:00	1.02521	9	0.8	0	0	10	59.2	0.941803	266.102	23.5451	61.5125
Control	Trial     7	C5	0:11:00-0:12:00	2.69054	72	7.88	0	0	73	52.04	-0.044066	-77.9506	-1.10165	161.217
Control	Trial     7	C5	0:12:00-0:13:00	2.15027	47	5.52	0	0	47	54.48	5.50957	248.159	137.739	129.016
Control	Trial     7	C5	0:13:00-0:14:00	0.735139	0	0	0	0	1	60	-0.425296	18.8435	-10.6324	44.1083
Control	Trial     7	C5	0:14:00-0:15:00	0.628229	0	0	0	0	2	59.92	1.95385	736.064	48.8463	37.6435
Control	Trial     7	C5	0:15:00-0:16:00	1.03767	8	1	0	0	9	59	-3.07964	-236.506	-76.991	62.2604
Control	Trial     7	C5	0:16:00-0:17:00	1.58836	27	3	0	0	28	56.92	0.162831	669.7	4.07077	95.1747
Control	Trial     7	C5	0:17:00-0:18:00	0.875774	3	0.36	0	0	4	59.64	2.57456	235.649	64.3639	52.5464
Control	Trial     7	C5	0:18:00-0:19:00	0.685593	0	0	0	0	1	60	-3.60508	658.147	-90.127	41.1356
Control	Trial     7	C5	0:19:00-0:20:00	0.636605	0	0	0	0	2	59.92	0.602321	-220.782	15.058	38.1453
Control	Trial     7	C5	0:20:00-0:21:00	2.7339	111	8.4	0	0	111	51.6	3.60125	-814.533	90.0312	164.034
Control	Trial     7	C5	0:21:00-0:22:00	3.00241	92	9.28	0	0	93	50.72	-0.936576	-158.735	-23.4144	180.145
Control	Trial     7	C5	0:22:00-0:23:00	0.665811	0	0	0	0	2	59.92	3.86114	-286.92	96.5286	39.8954
Control	Trial     7	C5	0:23:00-0:24:00	0.568253	0	0	0	0	1	60	3.23754	128.787	80.9384	34.0952
Control	Trial     7	C5	0:24:00-0:25:00	0.566616	0	0	0	0	2	59.92	-0.520668	-174.043	-13.0167	33.9517
Control	Trial     7	C5	0:25:00-0:26:00	0.639105	2	0.2	0	0	3	59.8	3.36085	200.859	84.0212	38.3463
Control	Trial     7	C5	0:26:00-0:27:00	0.829405	2	0.28	0	0	3	59.72	0.454115	103.039	11.3529	49.7643
Control	Trial     7	C5	0:27:00-0:28:00	0.811502	2	0.28	0	0	4	59.64	0.372284	-3.62999	9.3071	48.6252
Control	Trial     7	C5	0:28:00-0:29:00	1.31588	22	2.24	0	0	23	57.76	4.31818	10.8969	107.954	78.9528
Control	Trial     7	C5	0:29:00-0:30:00	2.50118	67	7.24	0	0	68	52.76	1.59768	134.58	39.9419	150.071
Control	Trial     7	C5	0:30:00-0:31:00	4.3259	98	12.36	0	0	100	47.56	7.77788	384.635	194.447	259.208
Control	Trial     7	C5	0:31:00-0:32:00	4.59337	143	14.68	0	0	144	45.32	1.3361	-85.2877	33.4024	275.602
Control	Trial     7	C5	0:32:00-0:33:00	3.74481	144	13.12	0	0	146	46.8	2.11047	-131.906	52.7617	224.389
Control	Trial     7	C5	0:33:00-0:34:00	2.79873	110	8.88	0	0	111	51.12	0.425085	-69.7362	10.6271	167.924
Control	Trial     7	C5	0:34:00-0:35:00	0.719994	1	0.08	0	0	2	59.92	-0.73005	351.418	-18.2513	43.1996
Control	Trial     7	C5	0:35:00-0:36:00	0.751204	0	0	0	0	2	59.92	-2.10954	-521.387	-52.7384	45.0121
Control	Trial     7	C5	0:36:00-0:37:00	0.758203	4	0.28	0	0	5	59.72	6.44301	532.229	161.075	45.4922
Control	Trial     7	C5	0:37:00-0:38:00	0.845179	5	0.32	0	0	6	59.68	4.83027	681.365	120.757	50.7107
Control	Trial     7	C5	0:38:00-0:39:00	1.15673	20	1.72	0	0	22	58.2	-7.10059	-680.391	-177.515	69.3115
Control	Trial     7	C5	0:39:00-0:40:00	0.94331	8	0.52	0	0	9	59.48	4.22207	490.823	105.552	56.5986
Control	Trial     7	C5	0:40:00-0:41:00	3.4575	114	10.68	0	0	116	49.24	3.17607	182.065	79.4019	207.173
Control	Trial     7	C5	0:41:00-0:42:00	5.83045	153	19.88	0	0	153	40.12	-5.10422	-223.864	-127.605	349.827
Control	Trial     7	C5	0:42:00-0:43:00	6.70432	133	21.32	0	0	134	38.68	0.59648	-202.652	14.912	402.259
Control	Trial     7	C5	0:43:00-0:44:00	1.39072	22	2.36	0	0	23	57.56	4.36449	-288.877	109.112	83.3322
Control	Trial     7	C5	0:44:00-0:45:00	0.818825	0	0	0	0	1	60	-1.05223	-133.661	-26.3057	49.1295
Control	Trial     7	C5	0:45:00-0:46:00	0.907007	0	0	0	0	1	60	1.21304	459.743	30.326	54.4204
Control	Trial     7	C5	0:46:00-0:47:00	0.835545	0	0	0	0	2	59.92	-1.11619	-271.455	-27.9049	50.0658
Control	Trial     7	C5	0:47:00-0:48:00	0.857255	1	0.24	0	0	2	59.76	-2.1807	127.53	-54.5176	51.4353
Control	Trial     7	C5	0:48:00-0:49:00	0.831167	3	0.52	0	0	5	59.4	0.80266	24.438	20.0665	49.8035
Control	Trial     7	C5	0:49:00-0:50:00	1.01957	11	1.12	0	0	12	58.88	6.38511	227.021	159.628	61.1744
Control	Trial     7	D4	0:00:00-0:01:00	0.801467	15	1.08	0	0	17	58.68	2.81269	650.302	70.3171	47.8956
Control	Trial     7	D4	0:01:00-0:02:00	0.557442	0	0	0	0	1	60	-5.42295	-524.835	-135.574	33.4465
Control	Trial     7	D4	0:02:00-0:03:00	0.599269	1	0.08	0	0	2	59.92	6.14642	388.285	153.661	35.9561
Control	Trial     7	D4	0:03:00-0:04:00	0.591313	0	0	0	0	2	59.92	2.166	-104.008	54.1499	35.4315
Control	Trial     7	D4	0:04:00-0:05:00	0.61837	0	0	0	0	1	60	4.0569	380.057	101.422	37.1022
Control	Trial     7	D4	0:05:00-0:06:00	0.553944	0	0	0	0	1	60	-3.37144	-208.701	-84.286	33.2366
Control	Trial     7	D4	0:06:00-0:07:00	0.55508	0	0	0	0	2	59.92	0.652343	90.6547	16.3086	33.2604
Control	Trial     7	D4	0:07:00-0:08:00	0.531159	1	0.08	0	0	2	59.92	0.465911	9.1786	11.6478	31.8695
Control	Trial     7	D4	0:08:00-0:09:00	0.638145	0	0	0	0	2	59.92	7.67108	30.1038	191.777	38.2376
Control	Trial     7	D4	0:09:00-0:10:00	1.32986	25	2.2	0	0	26	57.8	-1.40544	-133.945	-35.1359	79.7918
Control	Trial     7	D4	0:10:00-0:11:00	4.04848	43	6.8	0	0	44	53.2	-0.729874	-95.9203	-18.2469	242.909
Control	Trial     7	D4	0:11:00-0:12:00	0.83456	0	0	0	0	2	59.92	4.94591	441.089	123.648	50.0069
Control	Trial     7	D4	0:12:00-0:13:00	1.00175	1	0.04	0	0	2	59.96	-2.63828	-202.079	-65.957	60.1051
